task_id,task_status


TASK0012,pending_task
TASK0012,run_task
TASK0012,executing_task
TASK0012,task_completed
TASK0013,pending_task
TASK0013,run_task
TASK0013,executing_task
TASK0013,task_completed
TASK0014,run_task
TASK0014,executing_task
TASK0014,task_completed
TASK0014,run_task


TASK0014,run_task
TASK0014,executing_task
TASK0014,task_completed
TASK0015,pending_task
TASK0015,run_task

TASK0015,executing_task
TASK0015,task_completed
TASK0015,executing_task
TASK0015,task_completed
TASK0016,pending_task
TASK0016,run_task
